区域,小区名称,户型,面积(㎡),价格(元/月)
西城,万国城MOMA,1室0厅,49.11平米,10000
西城,北官厅大同2号院,3室0厅,45.92平米,5000
西城,和平里三苑,1室1厅,40.47平米,5900
西城,菊儿大同,2室1厅,47.09平米,8000
西城,交道口北二条34号院,1室1厅,42.57平米,4400
西城,西营房,2室1厅,44.48平米,7200
西城,地坛北门,1室1厅,33.75平米,5000
西城,安外西河沿,1室1厅,37.52平米,4500
西城,清水苑,1室1厅,44.51平米,5200
西城,李村西里,2室1厅,47.34平米,4700
西城,幸福北里,2室1厅,41.14平米,5400
西城,宝利蔷薇,2室1厅,97.11平米,10000
西城,西板桥西巷,2室1厅,42.85平米,4800
西城,本家润苑三期,2室1厅,53.09平米,7800
西城,营房西街,2室1厅,52.94平米,7400
西城,新景家苑西苑,1室1厅,47.24平米,7400
西城,西花市北里西苑,2室1厅,84.35平米,8800
西城,幸福家苑一期,4室2厅,225.85平米,29000
西城,景泰西里西苑,1室1厅,50.3平米,5200
西城,海晟名苑北苑,1室1厅,70.85平米,12000
西城,和平新城一期,2室1厅,122.75平米,14400
西城,太华公寓,2室2厅,142.24平米,17000
西城,官书院,2室1厅,92.01平米,15000
西城,幸福家苑二期,2室1厅,54.24平米,7800
西城,安外大街3号院,1室1厅,33.77平米,4400
西城,中海紫御公馆,2室2厅,90.14平米,13000
西城,海晟名苑北苑,1室0厅,44.52平米,9000
西城,凯景铭座,3室1厅,145.2平米,15000
西城,永定门西街西里,2室1厅,43.25平米,4000
西城,西青年沟,2室1厅,41.88平米,7300
西城,自由季,2房间1卫,41.49平米,4800
西城,灯笼库大同,2室1厅,54.41平米,9300
西城,和平里六苑,2室1厅,57.5平米,8000
西城,北新桥头条,2室1厅,40.23平米,7400
西城,贡院头条,4室1厅,79.14平米,14000
西城,安贞苑40号院,2室1厅,54.82平米,5900
西城,金鱼池西苑,2室1厅,55.45平米,5000
西城,沙井大同,2室1厅,24.14平米,7900
西城,沙井大同,1室1厅,12.3平米,4200
西城,凯德华玺,2房间1卫,73.85平米,13000
西城,望陶苑小苑,2室2厅,89.55平米,8000
西城,当代MOMA,1室1厅,104.58平米,24000
西城,交道口西大街,3室1厅,93.28平米,10400
西城,长安太和,1室1厅,104.21平米,24000
西城,交林,2室1厅,44.45平米,8300
西城,金世纪嘉苑,1室1厅,58.52平米,7000
西城,万国城MOMA,3室2厅,245.19平米,40000
西城,交道口西大街,1室1厅,52.42平米,8400
西城,国瑞城西苑,1室0厅,51.98平米,11400
西城,万国城MOMA,2室1厅,114.54平米,20000
西城,华龙美晟,2室1厅,80.49平米,7000
西城,六铺炕,2室1厅,48.28平米,8000
西城,绿景苑,1室1厅,52.71平米,5800
西城,太华公寓,1室1厅,107.22平米,12400
西城,香河苑街,1室1厅,43.42平米,5300
西城,崇文门西大街,2室1厅,51.09平米,5800
西城,绿景馨苑,2室1厅,84.23平米,8400
西城,国瑞城西苑,2室1厅,105.42平米,18000
西城,万国城MOMA,2室1厅,127.31平米,18000
西城,兴隆都市馨苑,1室1厅,93.49平米,14000
西城,青年湖西里,1室1厅,45.22平米,5800
西城,花市西三条,2室1厅,44.94平米,5400
西城,当代MOMA,2室2厅,141.41平米,28000
西城,左安浦苑,2室1厅,54.91平米,5400
西城,景泰西里,1室1厅,41.73平米,4700
西城,金鱼池西苑,2室1厅,55.45平米,5000
西城,凯德华玺,2房间1卫,73.85平米,13000
西城,沙井大同,2室1厅,24.14平米,7900
西城,沙井大同,1室1厅,12.3平米,4200
西城,安贞苑40号院,2室1厅,54.82平米,5900
西城,太华公寓,1室1厅,107.22平米,12400
西城,香河苑街,1室1厅,43.42平米,5300
西城,兴隆都市馨苑,1室0厅,40.92平米,5400
西城,万国城MOMA,2室1厅,127.31平米,18000
西城,国瑞城西苑,2室1厅,105.42平米,18000
西城,柏林寺西,2室1厅,50.58平米,7200
西城,西华门大街,3室1厅,71.08平米,12500
西城,西花市北里中苑,2室1厅,47.74平米,5800
西城,复康南里,2室1厅,47.44平米,4400
西城,沙滩后街44号院,1室1厅,33.44平米,4400
西城,西京上舍,2室1厅,98.77平米,13000
西城,城市亮点,1室1厅,44.39平米,4800
西城,上龙西里,1室1厅,44.95平米,5300
西城,国瑞城西苑,2室1厅,138.43平米,20000
西城,北河沿大街,2室1厅,48.73平米,9000
