,房源,价格
0,大阪可以做民宿的一户建,133.5
1,溪岸名邸:35万镑起入住北伦敦 未来看涨,292
2,目前迪拜市场综合性价比的别墅,608
3,伦敦泰晤士河3卧室半独立2层别墅带车位花园,415
4,"中央商业区大型生活城市综合小区,步行至新加坡管理大学多所名校",800
5,"新加坡香树丽舍购物中心,名校林立,近地铁,福豪聚集地",3400
6,"核心金融区,滨海海景房,阁楼4房豪华装修 折扣新币500万",8439
7,伊斯坦布尔市区成熟商圈低密度花园社区1-3房,181
8,"中央商业区大型生活城市综合小区,步行至新加坡管理大学多所名校",2845
9,"Mori靠近市区,地铁站,光华,低密度房子,有游泳池",853
10,稀缺的金融区楼盘One Bernam柏南华庭步行地铁站,923
11,"新加坡河畔标志性建筑,商住两用,五星级酒店式管理体系",2281
12,Symphoniaviu修女岛全新望江公寓期房两房单位,284
13,蒙特利尔市中心YUL全新顶层平层公寓转角2+1房单位,1308
14,稀缺的金融区楼盘One Bernam柏南华庭步行地铁站,672
15,土耳其伊斯坦布尔御海澜湾一线海景豪宅 4-5房,550
16,Masteri Centre Point——现代国际社区项目,99
17,"新加坡美丽小区开发商直销,低密度,3房2卫阳台,步行地铁站",705
18,悉尼收藏级别物业- “蓝色之约”,1000
19,伊斯坦布尔老城区地铁盘1-4房,331
20,Alto-悉尼西北独立产权的联排,775
